"sample_id","read_count","observed_taxa","log10_read_count","gmm_cluster","gmm_max_posterior","gmm_uncertainty"
"F883",6716,59,3.82711068746601,"3",0.999990798247159,9.201752841137e-06
"F885",5016,71,3.70035752782266,"3",0.999999999969175,3.08246761449027e-11
"F886",6607,55,3.82000430680832,"3",0.999994687399139,5.31260086100716e-06
"F887",5771,36,3.76125107430866,"3",0.999999964762815,3.52371846146227e-08
"F888",15617,96,4.19359761029809,"2",0.999999999813149,1.86851201178229e-10
"F891",10648,76,4.02726804246662,"2",0.999175288084576,0.000824711915424436
"F892",5535,54,3.74311762521474,"3",0.999999996647007,3.35299343845463e-09
"F893",7674,106,3.8850217948623,"3",0.99950230035794,0.000497699642060145
"F894",6133,73,3.78767296468749,"3",0.999999871130794,1.28869206417193e-07
"F895",6006,84,3.77858532786296,"3",0.999999962913162,3.70868380450418e-08
"F898",6362,50,3.80359366477134,"3",0.999998704663447,1.29533655346403e-06
"F901",13969,111,4.14516531735065,"2",0.999999968391879,3.16081206763741e-08
"F903",12078,83,4.0819950252723,"2",0.999994616604156,5.38339584410519e-06
"F904",9182,21,3.96293728843,"2",0.940484078119788,0.059515921880212
"F909",16042,96,4.20525851200406,"2",0.999999999898042,1.01957553511056e-10
"F910",14778,66,4.16961566222275,"2",0.999999999340499,6.59501342425983e-10
"F911",14873,74,4.1723985779393,"2",0.999999999339301,6.60699495114159e-10
"F912",6750,83,3.82930377283102,"3",0.999994938117107,5.06188289328691e-06
"F913",10540,127,4.02284061087653,"2",0.992999655690468,0.00700034430953167
"F914",13851,99,4.1414811292708,"2",0.999999969925117,3.00748834725084e-08
"F916",12869,72,4.10954480087835,"2",0.999999738027362,2.6197263780503e-07
"F917",13342,104,4.12522093631656,"2",0.999999829708018,1.70291982182214e-07
"F919",11150,45,4.04727486738418,"2",0.999957685376558,4.23146234419525e-05
"F920",12320,58,4.09061070782841,"2",0.999998988502498,1.01149750175722e-06
"F921",15029,156,4.17693008445051,"2",0.999999993233535,6.76646472186349e-09
"F922",15409,166,4.18777445516398,"2",0.999999996662903,3.33709659905423e-09
"F923",12607,77,4.10061175283379,"2",0.999999267328056,7.32671944336794e-07
"F924",14120,117,4.14983469671578,"2",0.999999975317356,2.46826442618087e-08
"F925",11783,76,4.0712558776813,"2",0.999988043815037,1.19561849625249e-05
"F926",13711,86,4.13706913083941,"2",0.9999999703242,2.9675800261586e-08
"F927",11654,82,4.06647501375413,"2",0.999976811073419,2.31889265809304e-05
"F928",13230,86,4.1215598441875,"2",0.999999867924745,1.32075255065978e-07
"F929",10625,119,4.02632893872235,"2",0.996166658497632,0.00383334150236803
"F930",15483,87,4.18985511378961,"2",0.999999999804495,1.95505167610577e-10
"F931",11049,72,4.04332297357458,"2",0.99984624807619,0.000153751923809731
"F932",11337,55,4.05449814663668,"2",0.999970429678975,2.95703210252407e-05
"F933",12055,41,4.08116721471347,"2",0.99999858426995,1.41573004974749e-06
"F934",13850,134,4.14144977340047,"2",0.999999901880787,9.81192130877773e-08
"F935",12512,84,4.09732673571577,"2",0.999998727380391,1.2726196092494e-06
"F936",13143,74,4.11869450789784,"2",0.999999883857323,1.16142676920283e-07
"F937",11903,86,4.07565643359793,"2",0.999989036057759,1.09639422412044e-05
"F939",14158,93,4.15100190799283,"2",0.999999990174764,9.82523562509385e-09
"F940",12070,73,4.08170727009735,"2",0.999996048759443,3.95124055696527e-06
"F942",14212,154,4.15265519881729,"2",0.99999993453927,6.54607302807975e-08
"F943",12791,110,4.10690449893564,"2",0.999998784407938,1.21559206189836e-06
"F946",14880,76,4.17260293120986,"2",0.999999999307037,6.92962798254371e-10
"F947",13086,84,4.11680691596234,"2",0.999999804897366,1.95102633937516e-07
"F948",11128,104,4.04641711698399,"2",0.999664483960998,0.000335516039001504
"F949",13521,104,4.13100881279064,"2",0.999999902453398,9.75466023511729e-08
"F950",14908,102,4.1734193840818,"2",0.999999998462246,1.53775392419675e-09
